M = 0  out of  200
M = 20  out of  200
M = 40  out of  200
M = 60  out of  200
M = 80  out of  200
M = 100  out of  200
M = 120  out of  200
M = 140  out of  200
M = 160  out of  200
M = 180  out of  200
         11312513 function calls (11306969 primitive calls) in 4865.365 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10400 1509.151    0.145 2068.075    0.199 U_CCQED.py:475(nE)
   108631 1083.644    0.010 1083.644    0.010 {built-in method numpy.core.multiarray.c_einsum}
    12804    0.013    0.000    0.016    0.000 {built-in method builtins.min}
      400    0.013    0.000    2.441    0.006 MPS_fund_therm.py:359(split)
        1    0.012    0.012    0.012    0.012 numerictypes.py:451(_set_array_types)
    373/1    0.010    0.000 4865.366 4865.366 {built-in method builtins.exec}
    11453    0.009    0.000    0.009    0.000 blas.py:71(<listcomp>)
    25400    0.009    0.000    0.138    0.000 _methods.py:34(_prod)
    23261    0.009    0.000    0.009    0.000 {built-in method _operator.index}
      158    0.009    0.000    0.011    0.000 textwrap.py:414(dedent)
     1406    0.009    0.000    0.018    0.000 parser.py:75(find_output_str)
    11693    0.009    0.000    0.009    0.000 paths.py:143(_update_other_results)
    35049    0.009    0.000    0.009    0.000 contract.py:408(<listcomp>)
      401    0.009    0.000    0.009    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    16400    0.008    0.000    0.010    0.000 numerictypes.py:942(_can_coerce_all)
        1    0.008    0.008    0.009    0.009 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.008    0.008    0.008    0.008 {built-in method posix.replace}
     8219    0.008    0.000    0.116    0.000 {method 'all' of 'numpy.ndarray' objects}
     8200    0.008    0.000    0.205    0.000 lapack.py:520(get_lapack_funcs)
    27930    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
    47332    0.007    0.000    0.007    0.000 {method 'find' of 'str' objects}
    10822    0.007    0.000    0.007    0.000 numeric.py:1321(<listcomp>)
     8200    0.007    0.000    0.010    0.000 base.py:1187(isspmatrix)
     8202    0.006    0.000    0.006    0.000 getlimits.py:532(max)
      699    0.006    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:1247(find_spec)
     4000    0.006    0.000    0.007    0.000 numeric.py:2135(isscalar)
       19    0.005    0.000    0.024    0.001 path.py:101(__init__)
    10822    0.005    0.000    0.005    0.000 numeric.py:1329(<listcomp>)
    20132    0.005    0.000    0.005    0.000 paths.py:274(<genexpr>)
     8214    0.005    0.000    0.005    0.000 {method 'index' of 'list' objects}
     8200    0.005    0.000    0.005    0.000 lapack.py:619(<listcomp>)
     8200    0.005    0.000    0.005    0.000 blas.py:277(<listcomp>)
     6445    0.005    0.000    0.005    0.000 contract.py:238(<listcomp>)
     8200    0.005    0.000    0.006    0.000 core.py:6192(isMaskedArray)
    28571    0.005    0.000    0.005    0.000 {method 'isdisjoint' of 'set' objects}
      343    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:449(_validate_bytecode_header)
     8200    0.004    0.000    0.004    0.000 numerictypes.py:1015(<listcomp>)
     8219    0.004    0.000    0.109    0.000 _methods.py:40(_all)
     5763    0.004    0.000    0.008    0.000 contract.py:299(_transpose)
      400    0.003    0.000    0.115    0.000 MPS_analysis_therm.py:31(B)
      605    0.003    0.000    0.007    0.000 inspect.py:2071(_signature_from_function)
     6445    0.003    0.000    0.003    0.000 contract.py:239(<listcomp>)
  267/114    0.003    0.000    0.008    0.000 sre_parse.py:491(_parse)
        1    0.003    0.003    0.003    0.003 {built-in method builtins.compile}
    21095    0.003    0.000    0.003    0.000 paths.py:265(<lambda>)
    10822    0.003    0.000    0.003    0.000 numeric.py:1327(<listcomp>)
      420    0.003    0.000    0.097    0.000 <frozen importlib._bootstrap>:879(_find_spec)
      343    0.003    0.000    1.949    0.006 <frozen importlib._bootstrap_external>:761(get_code)
      763    0.003    0.000    0.003    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      566    0.003    0.000    0.011    0.000 inspect.py:1057(getfullargspec)
     3650    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
    10822    0.002    0.000    0.002    0.000 numeric.py:1335(<listcomp>)
      154    0.002    0.000    0.003    0.000 sre_compile.py:248(_optimize_charset)
     3650    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     8200    0.002    0.000    0.002    0.000 misc.py:177(_datacopied)
      406    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
   426/10    0.002    0.000    3.913    0.391 <frozen importlib._bootstrap>:965(_find_and_load)
      686    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:276(cache_from_source)
   409/10    0.002    0.000    3.912    0.391 <frozen importlib._bootstrap>:659(_load_unlocked)
    11010    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
      405    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
       12    0.002    0.000    0.013    0.001 artist.py:1150(_get_setters_and_targets)
    19408    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      644    0.002    0.000    0.002    0.000 inspect.py:2675(__init__)
   426/10    0.002    0.000    3.913    0.391 <frozen importlib._bootstrap>:938(_find_and_load_unlocked)
    10753    0.002    0.000    0.003    0.000 mathtext.py:2757(<genexpr>)
     1809    0.002    0.000    0.002    0.000 type_check.py:107(real)
      415    0.002    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:1133(_get_spec)
      674    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
  450/101    0.001    0.000    0.006    0.000 sre_compile.py:64(_compile)
     3434    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      674    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:94(acquire)
       32    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
     1496    0.001    0.000    0.011    0.000 __init__.py:897(__setitem__)
     8200    0.001    0.000    0.001    0.000 numerictypes.py:1016(<listcomp>)
      373    0.001    0.000    0.003    0.000 colors.py:176(_to_rgba_no_colorcycle)
      674    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:119(release)
      605    0.001    0.000    0.009    0.000 inspect.py:2152(_signature_from_callable)
       64    0.001    0.000    0.006    0.000 colors.py:706(from_list)
     1246    0.001    0.000    0.005    0.000 {built-in method builtins.any}
     8075    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
        3    0.001    0.000    0.002    0.001 decoder.py:345(raw_decode)
     1713    0.001    0.000    0.002    0.000 inspect.py:2410(__init__)
     2025    0.001    0.000    0.019    0.000 re.py:278(_compile)
 1720/810    0.001    0.000    2.391    0.003 <frozen importlib._bootstrap>:995(_handle_fromlist)
        6    0.001    0.000    0.002    0.000 getlimits.py:65(__init__)
        6    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
     1583    0.001    0.000    0.001    0.000 sre_parse.py:157(__getitem__)
     3566    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:396(_verbose_message)
      405    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:321(__exit__)
     3240    0.001    0.000    0.001    0.000 sre_parse.py:226(__next)
   343/10    0.001    0.000    3.911    0.391 <frozen importlib._bootstrap_external>:691(exec_module)
     8018    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      400    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:545(spec_from_file_location)
      342    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:506(_compile_bytecode)
       41    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
  679/333    0.001    0.000    0.001    0.000 sre_parse.py:167(getwidth)
       11    0.001    0.000    0.002    0.000 enum.py:88(__new__)
     1615    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x55df66496560}
     1016    0.001    0.000    0.005    0.000 colors.py:142(to_rgba)
       26    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.empty}
  405/398    0.001    0.000    1.528    0.004 <frozen importlib._bootstrap>:570(module_from_spec)
     1892    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     3178    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      426    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:163(__enter__)
     1602    0.001    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      266    0.001    0.000    0.001    0.000 functools.py:43(update_wrapper)
      400    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:372(_get_cached)
      400    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1242(_get_spec)
     2647    0.001    0.000    0.002    0.000 sre_parse.py:247(get)
      342    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
       28    0.001    0.000    0.011    0.000 __init__.py:359(namedtuple)
       27    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
      796    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1096(_path_importer_cache)
      687    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      429    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(__init__)
     5268    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      158    0.001    0.000    0.013    0.000 deprecation.py:163(deprecate)
   260/11    0.001    0.000    0.002    0.000 pyparsing.py:957(_parseNoCache)
      397    0.001    0.000    0.004    0.000 artist.py:1121(get_valid_values)
     1472    0.001    0.000    0.002    0.000 colors.py:107(_is_nth_color)
      424    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
       12    0.001    0.000    0.001    0.000 artist.py:1104(<listcomp>)
   386/59    0.001    0.000    2.601    0.044 {built-in method builtins.__import__}
      158    0.001    0.000    0.001    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
     1402    0.001    0.000    0.003    0.000 re.py:160(match)
  217/101    0.001    0.000    0.009    0.000 sre_parse.py:429(_parse_sub)
     2279    0.001    0.000    0.001    0.000 inspect.py:2720(<genexpr>)
      743    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:406(cached)
   562/11    0.001    0.000    3.682    0.335 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      559    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
     2022    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      248    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
      101    0.001    0.000    0.002    0.000 sre_compile.py:412(_compile_info)
       39    0.001    0.000    0.003    0.000 __init__.py:1652(param)
      456    0.001    0.000    0.004    0.000 rcsetup.py:373(validate_color)
      101    0.000    0.000    0.018    0.000 sre_compile.py:531(compile)
        9    0.000    0.000    0.000    0.000 utils.py:74(__call__)
       14    0.000    0.000    2.286    0.163 __init__.py:1(<module>)
      685    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
       12    0.000    0.000    0.003    0.000 artist.py:1092(get_aliases)
     1608    0.000    0.000    0.001    0.000 artist.py:1185(is_alias)
     1260    0.000    0.000    0.000    0.000 colors.py:228(<genexpr>)
       11    0.000    0.000    0.016    0.001 artist.py:1228(pprint_setters)
      613    0.000    0.000    0.001    0.000 font_manager.py:955(_json_decode)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1079(_path_hooks)
      275    0.000    0.000    0.001    0.000 function_base.py:4519(add_newdoc)
     1257    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:856(__exit__)
     1088    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      415    0.000    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:1165(find_spec)
      343    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:858(path_stats)
      405    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
      426    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:170(__exit__)
      101    0.000    0.000    0.010    0.000 sre_parse.py:819(parse)
      188    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     1257    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:852(__enter__)
     1416    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
      202    0.000    0.000    0.002    0.000 __init__.py:986(dedent)
      706    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.001    0.001 pyplot.py:2264(_setup_pyplot_info_docstrings)
     3698    0.000    0.000    0.000    0.000 inspect.py:2445(name)
      520    0.000    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
       54    0.000    0.000    0.001    0.000 __init__.py:1024(_open_file_or_url)
    48/16    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:412(_check_name_wrapper)
      207    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      205    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1618    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
     1510    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
      405    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
      154    0.000    0.000    0.003    0.000 sre_compile.py:221(_compile_charset)
      456    0.000    0.000    0.003    0.000 colors.py:112(is_color_like)
     1931    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       30    0.000    0.000    0.003    0.000 _collections_abc.py:758(update)
      220    0.000    0.000    0.000    0.000 enum.py:301(__setattr__)
      179    0.000    0.000    0.001    0.000 enum.py:51(__setitem__)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
        1    0.000    0.000    0.001    0.001 core.py:21(<module>)
        1    0.000    0.000    0.054    0.054 numeric.py:1(<module>)
      415    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      443    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       18    0.000    0.000    0.005    0.000 rcsetup.py:789(validate_cycler)
      244    0.000    0.000    0.003    0.000 rcsetup.py:357(validate_color_for_prop_cycle)
        1    0.000    0.000    0.086    0.086 rcsetup.py:15(<module>)
      453    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      128    0.000    0.000    0.000    0.000 pyparsing.py:807(__init__)
    57/52    0.000    0.000    1.519    0.029 <frozen importlib._bootstrap_external>:935(create_module)
      608    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
        1    0.000    0.000    1.091    1.091 pyplot.py:19(<module>)
       24    0.000    0.000    0.001    0.000 abc.py:132(__new__)
      276    0.000    0.000    0.001    0.000 abc.py:178(__instancecheck__)
      599    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
      158    0.000    0.000    0.000    0.000 deprecation.py:23(_generate_deprecation_message)
      468    0.000    0.000    0.001    0.000 re.py:175(sub)
        1    0.000    0.000    0.015    0.015 numerictypes.py:82(<module>)
     1349    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      735    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
        1    0.000    0.000    0.003    0.003 getlimits.py:3(<module>)
      101    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      293    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      405    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
      415    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
       83    0.000    0.000    0.000    0.000 docstring.py:44(__call__)
      106    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
     2418    0.000    0.000    0.000    0.000 inspect.py:2457(kind)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1292(_fill_cache)
      566    0.000    0.000    0.000    0.000 <string>:12(__new__)
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:818(__init__)
       51    0.000    0.000    0.000    0.000 sre_compile.py:376(<listcomp>)
        6    0.000    0.000    0.002    0.000 patches.py:1844(_pprint_styles)
      450    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
     1877    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       84    0.000    0.000    0.003    0.000 rcsetup.py:97(<listcomp>)
      101    0.000    0.000    0.007    0.000 sre_compile.py:516(_code)
      854    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(__init__)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:283(__init__)
      300    0.000    0.000    0.000    0.000 rcsetup.py:125(validate_bool)
        1    0.000    0.000    0.003    0.003 mathtext.py:2756(<listcomp>)
        1    0.000    0.000    0.000    0.000 pyplot.py:1947(get_plot_commands)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
      102    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
      404    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
      426    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      145    0.000    0.000    0.004    0.000 rcsetup.py:76(f)
       65    0.000    0.000    0.000    0.000 copy.py:269(_reconstruct)
       31    0.000    0.000    0.000    0.000 posixpath.py:319(normpath)
      635    0.000    0.000    0.000    0.000 sre_parse.py:153(__len__)
     1257    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      132    0.000    0.000    0.001    0.000 deprecation.py:197(finalize)
