         266664 function calls (261463 primitive calls) in 0.405 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.030    0.015 __init__.py:7(<module>)
       27    0.000    0.000    0.001    0.000 core.py:181(iter_style_files)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
       18    0.000    0.000    0.000    0.000 __init__.py:1138(getLogger)
        1    0.000    0.000    0.002    0.002 lapack.py:437(<module>)
       27    0.000    0.000    0.019    0.001 __init__.py:1120(rc_params_from_file)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       18    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
      141    0.000    0.000    0.000    0.000 rcsetup.py:66(__call__)
      270    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
     1315    0.000    0.000    0.000    0.000 inspect.py:2453(annotation)
      293    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       98    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.002    0.002 hashlib.py:53(<module>)
     1150    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      101    0.000    0.000    0.000    0.000 codecs.py:318(decode)
       16    0.000    0.000    0.018    0.001 linecache.py:82(updatecache)
        1    0.000    0.000    0.001    0.001 transforms.py:30(<module>)
        1    0.000    0.000    0.000    0.000 image.py:903(NonUniformImage)
      126    0.000    0.000    0.000    0.000 colors.py:632(__init__)
       39    0.000    0.000    0.001    0.000 __init__.py:1577(_add_data_doc)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       80    0.000    0.000    0.000    0.000 docstring.py:100(copy)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1460(__init__)
     2344    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       60    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.arange}
       65    0.000    0.000    0.001    0.000 copy.py:67(copy)
        6    0.000    0.000    0.017    0.003 tokenize.py:450(open)
      665    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
      108    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.006    0.006 font_manager.py:21(<module>)
      186    0.000    0.000    0.000    0.000 sre_compile.py:513(isstring)
        1    0.000    0.000    0.000    0.000 _iotools.py:155(LineSplitter)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:943(exec_module)
        1    0.000    0.000    0.005    0.005 inspect.py:27(<module>)
      268    0.000    0.000    0.000    0.000 pyplot.py:2275(pad)
      252    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.can_cast}
       93    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
      120    0.000    0.000    0.000    0.000 numeric.py:534(asanyarray)
       19    0.000    0.000    0.000    0.000 path.py:198(_update_values)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       93    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
       60    0.000    0.000    0.000    0.000 rcsetup.py:79(<listcomp>)
       89    0.000    0.000    0.000    0.000 sre_parse.py:312(_class_escape)
     30/4    0.000    0.000    0.000    0.000 pyparsing.py:2292(streamline)
      158    0.000    0.000    0.002    0.000 docstring.py:94(dedent)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1333(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
