         266664 function calls (261463 primitive calls) in 0.405 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      390    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:170(__exit__)
       93    0.000    0.000    0.010    0.000 sre_parse.py:819(parse)
      313    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1416    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
     1150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
      379    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1165(find_spec)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:283(__init__)
        1    0.000    0.000    0.014    0.014 rcsetup.py:15(<module>)
      202    0.000    0.000    0.003    0.000 __init__.py:986(dedent)
     1150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
      625    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1079(_path_hooks)
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
       54    0.000    0.000    0.001    0.000 __init__.py:1024(_open_file_or_url)
      313    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:858(path_stats)
     3698    0.000    0.000    0.000    0.000 inspect.py:2445(name)
    48/16    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
      179    0.000    0.000    0.001    0.000 enum.py:51(__setitem__)
      128    0.000    0.000    0.000    0.000 pyparsing.py:807(__init__)
       30    0.000    0.000    0.004    0.000 _collections_abc.py:758(update)
      646    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      147    0.000    0.000    0.004    0.000 sre_compile.py:221(_compile_charset)
      990    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      313    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:412(_check_name_wrapper)
       18    0.000    0.000    0.005    0.000 rcsetup.py:789(validate_cycler)
      474    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
      453    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      220    0.000    0.000    0.000    0.000 enum.py:301(__setattr__)
      276    0.000    0.000    0.001    0.000 abc.py:178(__instancecheck__)
        1    0.000    0.000    0.178    0.178 pyplot.py:19(<module>)
     1453    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
       24    0.000    0.000    0.001    0.000 abc.py:132(__new__)
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
     1470    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
      367    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
      244    0.000    0.000    0.003    0.000 rcsetup.py:357(validate_color_for_prop_cycle)
      456    0.000    0.000    0.003    0.000 colors.py:112(is_color_like)
      150    0.000    0.000    0.008    0.000 cm.py:67(_generate_cmap)
      158    0.000    0.000    0.000    0.000 deprecation.py:23(_generate_deprecation_message)
      106    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       83    0.000    0.000    0.000    0.000 docstring.py:44(__call__)
      390    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
      468    0.000    0.000    0.002    0.000 re.py:175(sub)
      566    0.000    0.000    0.000    0.000 <string>:12(__new__)
      561    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
     1877    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.004    0.004 mathtext.py:2756(<listcomp>)
        6    0.000    0.000    0.002    0.000 patches.py:1844(_pprint_styles)
