M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         48910792 function calls (48904933 primitive calls) in 7094.027 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      474    0.111    0.000    0.142    0.000 U_CCQED.py:390(E4mix)
        1    0.000    0.000    0.141    0.141 __init__.py:220(<module>)
      474    0.109    0.000    0.139    0.000 U_CCQED.py:443(Ed4mix)
        2    0.000    0.000    0.138    0.069 __init__.py:45(<module>)
   808150    0.138    0.000    0.138    0.000 {method 'pop' of 'list' objects}
949590/949542    0.134    0.000    0.134    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.133    0.133 _axes.py:1(<module>)
        1    0.000    0.000    0.131    0.131 backend_bases.py:33(<module>)
        1    0.130    0.130    0.130    0.130 {built-in method scipy.sparse._sparsetools.csr_matvecs}
   573901    0.124    0.000    0.124    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.122    0.122 __init__.py:21(pylab_setup)
        1    0.000    0.000    0.122    0.122 backend_tkagg.py:1(<module>)
  1338545    0.120    0.000    0.120    0.000 {method 'append' of 'list' objects}
    94800    0.097    0.000    0.117    0.000 numeric.py:2135(isscalar)
      462    0.004    0.000    0.101    0.000 <frozen importlib._bootstrap>:879(_find_spec)
        1    0.000    0.000    0.100    0.100 tkagg.py:1(<module>)
        3    0.000    0.000    0.099    0.033 six.py:114(_resolve)
   189837    0.096    0.000    0.096    0.000 linalg.py:219(_isEmpty2d)
        2    0.000    0.000    0.095    0.048 parser.py:5(<module>)
   574498    0.095    0.000    0.095    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.095    0.095 feedparser.py:20(<module>)
      457    0.000    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:1165(find_spec)
      457    0.002    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1133(_get_spec)
        1    0.000    0.000    0.093    0.093 message.py:5(<module>)
        1    0.000    0.000    0.090    0.090 artist.py:1(<module>)
      748    0.007    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:1247(find_spec)
        1    0.000    0.000    0.087    0.087 rcsetup.py:15(<module>)
   613000    0.083    0.000    0.083    0.000 {method 'pop' of 'dict' objects}
   142489    0.081    0.000    0.081    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    29345    0.033    0.000    0.081    0.000 parser.py:126(<listcomp>)
        1    0.000    0.000    0.079    0.079 Image.py:27(<module>)
   189837    0.076    0.000    0.076    0.000 linalg.py:198(_assertRankAtLeast2)
        1    0.000    0.000    0.076    0.076 utils.py:5(<module>)
        1    0.000    0.000    0.074    0.074 shutil.py:5(<module>)
        1    0.074    0.074    0.074    0.074 {built-in method scipy.sparse._sparsetools.csc_matvecs}
        1    0.000    0.000    0.073    0.073 text.py:3(<module>)
        1    0.000    0.000    0.073    0.073 matfuncs.py:3(<module>)
    60769    0.058    0.000    0.072    0.000 {built-in method builtins.min}
     1751    0.001    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.070    0.070 __init__.py:634(<module>)
        1    0.000    0.000    0.070    0.070 collections.py:10(<module>)
     1804    0.070    0.000    0.070    0.000 {built-in method posix.stat}
   203760    0.069    0.000    0.069    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.068    0.068 __init__.py:31(<module>)
   241144    0.065    0.000    0.065    0.000 {built-in method builtins.max}
      582    0.000    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      627    0.001    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.062    0.062 tempfile.py:24(<module>)
        1    0.000    0.000    0.061    0.061 random.py:37(<module>)
   232777    0.060    0.000    0.060    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.059    0.059 hashlib.py:53(<module>)
        1    0.000    0.000    0.058    0.058 case.py:1(<module>)
     10/6    0.000    0.000    0.058    0.010 compressed.py:25(__init__)
     1260    0.057    0.000    0.057    0.000 {method 'randn' of 'mtrand.RandomState' objects}
        3    0.000    0.000    0.055    0.018 __init__.py:3(<module>)
        1    0.000    0.000    0.054    0.054 path.py:10(<module>)
        4    0.000    0.000    0.054    0.013 _version.py:7(<module>)
        1    0.000    0.000    0.052    0.052 textpath.py:3(<module>)
      948    0.052    0.000    0.052    0.000 U_CCQED.py:147(C)
        1    0.000    0.000    0.049    0.049 csr.py:1(<module>)
      376    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:506(_compile_bytecode)
   147275    0.049    0.000    0.049    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.049    0.049 mlab.py:163(<module>)
        1    0.000    0.000    0.049    0.049 misc.py:1(<module>)
1297/1244    0.019    0.000    0.048    0.000 {built-in method builtins.__build_class__}
   209192    0.048    0.000    0.048    0.000 {method 'union' of 'set' objects}
    89220    0.028    0.000    0.048    0.000 parser.py:86(possibly_convert_to_numpy)
      376    0.046    0.000    0.046    0.000 {built-in method marshal.loads}
    57411    0.046    0.000    0.046    0.000 blas.py:71(<listcomp>)
        1    0.000    0.000    0.046    0.046 numeric.py:1(<module>)
        1    0.000    0.000    0.045    0.045 __init__.py:57(<module>)
   379670    0.045    0.000    0.045    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.045    0.045 __init__.py:134(<module>)
        1    0.000    0.000    0.044    0.044 bz2.py:5(<module>)
       27    0.000    0.000    0.042    0.002 __init__.py:1120(rc_params_from_file)
        1    0.000    0.000    0.042    0.042 polynomial.py:4(<module>)
        1    0.000    0.000    0.041    0.041 U_CCQED.py:1(<module>)
        1    0.000    0.000    0.040    0.040 font_manager.py:21(<module>)
    27553    0.040    0.000    0.040    0.000 {built-in method numpy.core.multiarray.result_type}
        1    0.000    0.000    0.040    0.040 core.py:1(<module>)
    29345    0.040    0.000    0.040    0.000 contract.py:125(<listcomp>)
        1    0.000    0.000    0.040    0.040 core.py:159(load_base_library)
        1    0.000    0.000    0.040    0.040 core.py:191(read_style_directory)
        1    0.000    0.000    0.040    0.040 __init__.py:10(<module>)
        1    0.000    0.000    0.040    0.040 __init__.py:15(<module>)
       27    0.028    0.001    0.039    0.001 __init__.py:1042(_rc_params_in_file)
        1    0.000    0.000    0.038    0.038 ssl.py:89(<module>)
   118565    0.032    0.000    0.038    0.000 contract.py:179(<genexpr>)
        1    0.000    0.000    0.037    0.037 subprocess.py:14(<module>)
        1    0.000    0.000    0.037    0.037 linalg.py:10(<module>)
        2    0.009    0.004    0.037    0.018 coo.py:126(__init__)
    59633    0.035    0.000    0.035    0.000 paths.py:143(_update_other_results)
        1    0.000    0.000    0.033    0.033 py3k.py:4(<module>)
    59872    0.031    0.000    0.031    0.000 backends.py:33(get_func)
    57015    0.030    0.000    0.030    0.000 numeric.py:1321(<listcomp>)
        1    0.000    0.000    0.030    0.030 __init__.py:41(<module>)
        1    0.000    0.000    0.030    0.030 lines.py:4(<module>)
    28459    0.013    0.000    0.028    0.000 contract.py:299(_transpose)
    29345    0.028    0.000    0.028    0.000 contract.py:156(<listcomp>)
        1    0.000    0.000    0.028    0.028 mathtext.py:16(<module>)
        1    0.000    0.000    0.027    0.027 socket.py:47(<module>)
        1    0.000    0.000    0.027    0.027 lapack.py:461(<module>)
        1    0.000    0.000    0.027    0.027 traceback.py:189(format_stack)
        1    0.000    0.000    0.027    0.027 arrayprint.py:5(<module>)
        1    0.000    0.000    0.027    0.027 traceback.py:196(extract_stack)
        1    0.000    0.000    0.027    0.027 traceback.py:313(extract)
       50    0.000    0.000    0.027    0.001 traceback.py:279(line)
