M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         49944522 function calls (49937501 primitive calls) in 1951.246 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    57735    0.029    0.000    0.029    0.000 numeric.py:1296(<listcomp>)
        1    0.000    0.000    0.028    0.028 __init__.py:134(<module>)
        1    0.000    0.000    0.028    0.028 client.py:69(<module>)
    57735    0.028    0.000    0.028    0.000 numeric.py:1304(<listcomp>)
        1    0.000    0.000    0.027    0.027 _axes.py:1(<module>)
        1    0.000    0.000    0.025    0.025 artist.py:1(<module>)
      455    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      455    0.002    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        1    0.000    0.000    0.025    0.025 datetime.py:5(<module>)
    92517    0.024    0.000    0.024    0.000 paths.py:270(<genexpr>)
       27    0.000    0.000    0.024    0.001 __init__.py:1048(rc_params_from_file)
   125405    0.023    0.000    0.023    0.000 {method 'isdisjoint' of 'set' objects}
        1    0.000    0.000    0.023    0.023 rcsetup.py:15(<module>)
      157    0.000    0.000    0.023    0.000 re.py:231(compile)
        1    0.000    0.000    0.022    0.022 core.py:12(<module>)
        1    0.000    0.000    0.022    0.022 core.py:151(load_base_library)
        1    0.000    0.000    0.022    0.022 core.py:182(read_style_directory)
       27    0.011    0.000    0.021    0.001 __init__.py:970(_rc_params_in_file)
        1    0.000    0.000    0.021    0.021 __init__.py:8(<module>)
      697    0.005    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.021    0.021 collections.py:10(<module>)
        1    0.000    0.000    0.021    0.021 __init__.py:19(<module>)
    29343    0.020    0.000    0.020    0.000 contract.py:115(<listcomp>)
        1    0.000    0.000    0.020    0.020 arpack.py:7(<module>)
        2    0.000    0.000    0.020    0.010 parser.py:5(<module>)
        1    0.000    0.000    0.020    0.020 path.py:10(<module>)
        1    0.000    0.000    0.020    0.020 feedparser.py:20(<module>)
        1    0.000    0.000    0.019    0.019 tempfile.py:24(<module>)
        1    0.000    0.000    0.019    0.019 fontconfig_pattern.py:7(<module>)
        1    0.000    0.000    0.019    0.019 random.py:38(<module>)
     1665    0.005    0.000    0.018    0.000 parser.py:123(find_output_str)
        1    0.000    0.000    0.018    0.018 basic.py:5(<module>)
