M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         15788728 function calls (15781629 primitive calls) in 1157.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   102429    0.037    0.000    0.037    0.000 {built-in method builtins.hasattr}
   118557    0.029    0.000    0.036    0.000 contract.py:178(<genexpr>)
        1    0.000    0.000    0.035    0.035 contour.py:3(<module>)
     2246    0.002    0.000    0.035    0.000 re.py:286(_compile)
    61609    0.034    0.000    0.034    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.034    0.034 _subplots.py:1(<module>)
       11    0.000    0.000    0.033    0.003 artist.py:1511(kwdoc)
    59868    0.033    0.000    0.033    0.000 dispatch.py:46(get_func)
        1    0.000    0.000    0.032    0.032 MPS_fund_par.py:1(<module>)
      191    0.001    0.000    0.031    0.000 sre_compile.py:557(compile)
     1422    0.004    0.000    0.031    0.000 tempfile.py:160(<listcomp>)
    27553    0.024    0.000    0.031    0.000 function_base.py:13(_index_deprecate)
       11    0.000    0.000    0.030    0.003 artist.py:1268(pprint_setters)
      474    0.002    0.000    0.030    0.000 context.py:84(BoundedSemaphore)
      473    0.003    0.000    0.030    0.000 <frozen importlib._bootstrap>:870(_find_spec)
    57735    0.029    0.000    0.029    0.000 numeric.py:1296(<listcomp>)
      474    0.010    0.000    0.027    0.000 MPS_analysis.py:31(B)
    57735    0.027    0.000    0.027    0.000 numeric.py:1304(<listcomp>)
    11376    0.011    0.000    0.027    0.000 random.py:252(choice)
      474    0.000    0.000    0.026    0.000 synchronize.py:145(__init__)
        1    0.000    0.000    0.025    0.025 _axes.py:1(<module>)
      468    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      468    0.002    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
    92517    0.024    0.000    0.024    0.000 paths.py:270(<genexpr>)
        2    0.000    0.000    0.024    0.012 __init__.py:7(<module>)
       27    0.000    0.000    0.024    0.001 __init__.py:1048(rc_params_from_file)
     3792    0.005    0.000    0.024    0.000 ufunclike.py:20(func)
        1    0.000    0.000    0.024    0.024 text.py:3(<module>)
        1    0.000    0.000    0.023    0.023 rcsetup.py:15(<module>)
      157    0.000    0.000    0.022    0.000 re.py:231(compile)
        1    0.000    0.000    0.022    0.022 __init__.py:110(<module>)
        2    0.000    0.000    0.022    0.011 _distributor_init.py:10(<module>)
        1    0.000    0.000    0.022    0.022 core.py:12(<module>)
        1    0.000    0.000    0.022    0.022 core.py:151(load_base_library)
        1    0.000    0.000    0.022    0.022 core.py:182(read_style_directory)
        1    0.000    0.000    0.022    0.022 request.py:68(<module>)
       27    0.010    0.000    0.021    0.001 __init__.py:970(_rc_params_in_file)
      724    0.005    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    29343    0.021    0.000    0.021    0.000 contract.py:115(<listcomp>)
   125405    0.021    0.000    0.021    0.000 {method 'isdisjoint' of 'set' objects}
        1    0.000    0.000    0.020    0.020 collections.py:10(<module>)
     2145    0.004    0.000    0.020    0.000 fromnumeric.py:1821(sum)
        1    0.000    0.000    0.019    0.019 fontconfig_pattern.py:7(<module>)
     1896    0.005    0.000    0.019    0.000 util.py:136(register_after_fork)
     1665    0.005    0.000    0.019    0.000 parser.py:123(find_output_str)
        1    0.000    0.000    0.018    0.018 client.py:69(<module>)
     2844    0.017    0.000    0.017    0.000 {built-in method posix.close}
      191    0.001    0.000    0.017    0.000 sre_parse.py:844(parse)
        1    0.000    0.000    0.016    0.016 pyparsing.py:75(<module>)
       12    0.002    0.000    0.016    0.001 artist.py:1179(_get_setters_and_targets)
    61878    0.016    0.000    0.016    0.000 {built-in method _thread.get_ident}
      948    0.009    0.000    0.015    0.000 process.py:71(__init__)
    29343    0.015    0.000    0.015    0.000 contract.py:132(<listcomp>)
      410    0.001    0.000    0.015    0.000 artist.py:1142(get_valid_values)
  394/191    0.001    0.000    0.015    0.000 sre_parse.py:407(_parse_sub)
    11376    0.010    0.000    0.015    0.000 random.py:222(_randbelow)
    57735    0.014    0.000    0.014    0.000 numeric.py:1302(<listcomp>)
    93559    0.014    0.000    0.014    0.000 paths.py:261(<lambda>)
        2    0.000    0.000    0.014    0.007 __init__.py:45(<module>)
  443/199    0.005    0.000    0.014    0.000 sre_parse.py:470(_parse)
    57735    0.014    0.000    0.014    0.000 numeric.py:1301(<listcomp>)
      583    0.003    0.000    0.014    0.000 inspect.py:1079(getfullargspec)
    57735    0.014    0.000    0.014    0.000 numeric.py:1309(<listcomp>)
