M = 0  out of  250
M = 25  out of  250
M = 50  out of  250
M = 75  out of  250
M = 100  out of  250
M = 125  out of  250
M = 150  out of  250
M = 175  out of  250
M = 200  out of  250
M = 225  out of  250
         4493559 function calls (4487363 primitive calls) in 61.601 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      562    0.003    0.000    0.018    0.000 inspect.py:2152(_signature_from_callable)
      250    0.002    0.000    0.032    0.000 U_JC_therm.py:103(nc)
    384/9    0.002    0.000    0.799    0.089 <frozen importlib._bootstrap>:659(_load_unlocked)
4425/4421    0.002    0.000    0.004    0.000 {method 'join' of 'str' objects}
     1614    0.002    0.000    0.003    0.000 inspect.py:2410(__init__)
      380    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
   520/27    0.002    0.000    0.010    0.000 pyparsing.py:1347(_parseNoCache)
       30    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
    439/9    0.002    0.000    0.807    0.090 <frozen importlib._bootstrap>:938(_find_and_load_unlocked)
     1694    0.002    0.000    0.035    0.000 re.py:278(_compile)
     1600    0.002    0.000    0.002    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      399    0.002    0.000    0.185    0.000 <frozen importlib._bootstrap_external>:1133(_get_spec)
        2    0.002    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
      662    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
     2258    0.002    0.000    0.002    0.000 type_check.py:107(real)
      256    0.002    0.000    0.002    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      429    0.002    0.000    0.004    0.000 copy.py:269(_reconstruct)
        1    0.002    0.002    0.002    0.002 {built-in method builtins.compile}
      662    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:94(acquire)
     1099    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     1229    0.002    0.000    0.008    0.000 {built-in method builtins.any}
        4    0.002    0.000    0.002    0.000 {method 'close' of '_io.BufferedRandom' objects}
        1    0.002    0.002    0.016    0.016 machar.py:116(_do_init)
       64    0.002    0.000    0.012    0.000 colors.py:665(from_list)
      662    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:119(release)
     6930    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      972    0.002    0.000    0.010    0.000 colors.py:128(to_rgba)
  231/109    0.002    0.000    0.017    0.000 sre_parse.py:429(_parse_sub)
      399    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:630(_search_registry)
  764/384    0.002    0.000    0.002    0.000 sre_parse.py:167(getwidth)
      879    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
 1710/866    0.002    0.000    0.336    0.000 <frozen importlib._bootstrap>:995(_handle_fromlist)
     1735    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     3290    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
    323/9    0.002    0.000    0.798    0.089 <frozen importlib._bootstrap_external>:691(exec_module)
     3060    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:396(_verbose_message)
        1    0.002    0.002    0.002    0.002 {built-in method nt.replace}
       62    0.002    0.000    0.003    0.000 function_base.py:25(linspace)
     1440    0.001    0.000    0.183    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     1482    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x0000000076B05030}
      653    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
       11    0.001    0.000    0.002    0.000 artist.py:1099(<listcomp>)
     2372    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2964    0.001    0.000    0.004    0.000 sre_parse.py:247(get)
      399    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:623(_open_registry)
      364    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:545(spec_from_file_location)
      334    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_encode}
      380    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:321(__exit__)
      429    0.001    0.000    0.006    0.000 copy.py:67(copy)
     1776    0.001    0.000    0.002    0.000 sre_parse.py:157(__getitem__)
        5    0.001    0.000    0.001    0.000 {built-in method nt.open}
      405    0.001    0.000    0.006    0.000 artist.py:1116(get_valid_values)
        1    0.001    0.001    0.002    0.002 pyplot.py:1882(get_plot_commands)
       10    0.001    0.000    0.003    0.000 enum.py:88(__new__)
       15    0.001    0.000    0.001    0.000 {built-in method nt._isdir}
      469    0.001    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
       39    0.001    0.000    0.006    0.000 __init__.py:1695(param)
     4963    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      250    0.001    0.000    0.001    0.000 numeric.py:2135(isscalar)
      322    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:506(_compile_bytecode)
      364    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1242(_get_spec)
   214/13    0.001    0.000    0.006    0.000 pyparsing.py:1520(_parseCache)
      439    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:163(__enter__)
     2137    0.001    0.000    0.001    0.000 inspect.py:2720(<genexpr>)
     1384    0.001    0.000    0.003    0.000 colors.py:107(_is_nth_color)
       16    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       34    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1292(_fill_cache)
      800    0.001    0.000    0.001    0.000 numeric.py:1321(<listcomp>)
  561/559    0.001    0.000    0.001    0.000 pyparsing.py:349(__init__)
  380/374    0.001    0.000    0.093    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
      236    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
       48    0.001    0.000    0.005    0.000 __init__.py:1042(_open_file_or_url)
     1260    0.001    0.000    0.001    0.000 colors.py:203(<genexpr>)
       25    0.001    0.000    0.004    0.000 {built-in method builtins.eval}
      437    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__init__)
       11    0.001    0.000    0.033    0.003 artist.py:1226(pprint_setters)
     1243    0.001    0.000    0.004    0.000 re.py:160(match)
      725    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1096(_path_importer_cache)
      412    0.001    0.000    0.006    0.000 rcsetup.py:375(validate_color)
     1641    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:856(__exit__)
      364    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:372(_get_cached)
      322    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
   387/58    0.001    0.000    0.382    0.007 {built-in method builtins.__import__}
      109    0.001    0.000    0.003    0.000 sre_compile.py:412(_compile_info)
      109    0.001    0.000    0.033    0.000 sre_compile.py:531(compile)
      334    0.001    0.000    0.002    0.000 cp1250.py:18(encode)
       24    0.001    0.000    0.015    0.001 __init__.py:359(namedtuple)
      768    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      323    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:858(path_stats)
